Publisher,Genres,App_Name,Release_Date,Id,Developer
,"['Casual', 'Simulation']",Rocksmith® 2014 – R.E.M. - “Everybody Hurts”,2014-02-04,271428,Ubisoft - San Francisco
Culture Attack Studio,"['Action', 'Indie']",Aces Wild: Manic Brawling Action!,2013-08-08,269230,"Culture Attack Studio,Tyler Doak"
,"['Casual', 'Simulation']",Rocksmith® 2014 – R.E.M. - “The One I Love”,2014-02-04,271429,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – R.E.M. - “Überlin”,2014-02-04,271427,Ubisoft - San Francisco
,"['Casual', 'Simulation']","Rocksmith® 2014 – R.E.M. - “Shiny, Happy People”",2014-02-04,271430,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – STRAIGHTENER - “ROCKSTEADY”,2014-02-04,271433,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – STRAIGHTENER - “From Noon Till Dawn”,2014-02-04,271432,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – R.E.M. Song Pack,2014-02-04,271431,Ubisoft - San Francisco
Ghostlight LTD,"['Adventure', 'RPG', 'Strategy']",Agarest: Generations of War,2014-02-04,237890,Idea Factory
GTGD,"['Education', 'Software Training']",GTGD S1: More Than a Gamer,2014-02-13,269570,GTGD
"H2 Interactive Co., Ltd.",['Action'],BlazBlue: Calamity Trigger,2014-02-13,263300,Arc System Works
Libredia,['Casual'],Kingdom Tales,2014-02-13,276440,Cateia Games
bitComposer Games,"['RPG', 'Strategy']",Disciples III: Reincarnation,2014-02-14,10270,Akella
Limasse Five,"['Adventure', 'Indie']",NaissanceE,2014-02-13,265690,Limasse Five
Dovetail Games - Trains,['Simulation'],Train Simulator: Canadian Mountain Passes: Revelstoke-Lake Louise,2014-02-14,222582,Milepost Simulations
Paradox Interactive,"['RPG', 'Simulation', 'Strategy']",Crusader Kings II: Saxon Unit Pack,2014-02-14,226672,Paradox Development Studio
Paradox Interactive,"['RPG', 'Simulation', 'Strategy']",Crusader Kings II: Finno-Ugric Unit Pack,2014-02-14,226673,Paradox Development Studio
Krillbite Studio,"['Casual', 'Free to Play', 'Indie']",The Plan,2013-02-10,250600,Krillbite Studio
Microsoft Studios,"['Action', 'Adventure', 'Casual', 'Racing']",LocoCycle,2014-02-14,224040,Twisted Pixel Games
Basilisk Games,"['Adventure', 'Indie', 'RPG']",Eschalon: Book III,2014-02-14,257870,Basilisk Games
Popcannibal,"['Adventure', 'Casual', 'Indie']",Girls Like Robots,2014-02-14,263460,Popcannibal
SNK CORPORATION,['Action'],METAL SLUG 3,2014-02-14,250180,"SNK CORPORATION,DotEmu"
Doppler Interactive,"['Adventure', 'Casual', 'Indie']",Cube & Star: An Arbitrary Love,2014-02-14,261960,Doppler Interactive
Ludosity,"['Adventure', 'Casual', 'Indie']",Card City Nights,2014-02-14,271820,Ludosity
,"['Casual', 'Simulation']",Rocksmith® 2014 – The Birthday - “stupid”,2014-02-18,271440,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – RIZE - “PARADOX Taiso”,2014-02-18,271438,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – ACIDMAN - “Shinsekai”,2014-02-18,271439,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against - “Prayer of the Refugee”,2014-02-18,271449,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against - “Give It All”,2014-02-18,271450,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against - “Make It Stop (September’s Children)”,2014-02-18,271451,Ubisoft - San Francisco
Shining Rock Software LLC,"['Indie', 'Simulation', 'Strategy']",Banished,2014-02-18,242920,Shining Rock Software LLC
Treasure,"['Action', 'Indie']",Ikaruga,2014-02-18,253750,Treasure
,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against - “Satellite”,2014-02-18,271453,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against Song Pack,2014-02-18,271454,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against - “Swing Life Away”,2014-02-18,271452,Ubisoft - San Francisco
MumboJumbo,"['Casual', 'Strategy']",7 Wonders of the Ancient World,2014-02-18,275810,MumboJumbo
MumboJumbo,"['Casual', 'Strategy']",7 Wonders: Magical Mystery Tour,2014-02-18,275830,MumboJumbo
Matthew Brown,"['Casual', 'Indie', 'Strategy']",Hexcells,2014-02-19,265890,Matthew Brown
Matthew Brown,"['Casual', 'Indie', 'Strategy']",Hexcells Plus,2014-02-19,271900,Matthew Brown
SCS Software,"['Indie', 'Simulation']",Scania Truck Driving Simulator,2012-06-12,258760,SCS Software
505 Games,"['Action', 'RPG']",PAYDAY 2: The Death Wish Update,2014-02-27,284430,OVERKILL - a Starbreeze Studio.
Screaming Bee,"['Casual', 'Animation &amp; Modeling', 'Audio Production', 'Utilities']",MorphVOX - Special Effects Voices,2014-02-27,277721,Screaming Bee
Activision,['Action'],Call of Duty®: Ghosts - Onslaught,2014-02-27,259250,Infinity Ward
Damian Sommer,"['Indie', 'RPG']",The Yawhg,2013-05-30,269030,"Damian Sommer,Emily Carroll"
,"['Simulation', 'Strategy']",Europa Universalis IV: Colonial British and French Unit pack,2014-02-25,278711,Paradox Development Studio
,"['Casual', 'Simulation']",Rocksmith® 2014 – The Doors - “Light My Fire”,2014-02-25,271445,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – The Doors - “Riders on the Storm”,2014-02-25,271446,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – The Doors - “Roadhouse Blues”,2014-02-25,271447,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – The Doors Song Pack,2014-02-25,271448,Ubisoft - San Francisco
NAMCO BANDAI Games Europe S.A.S.,,PAC-MAN MUSEUM Demo,2014-02-25,255760,NAMCO BANDAI Studio Inc.
Matt Roszak,"['Adventure', 'RPG']",Epic Battle Fantasy 4,2014-02-25,265610,Matt Roszak
Last Dimension,"['Action', 'Adventure']",Ultionus: A Tale of Petty Revenge,2014-02-25,279160,Last Dimension
Ubisoft,"['Action', 'Adventure']",Assassin's Creed Freedom Cry,2014-02-25,277590,Ubisoft Montreal
Konami Digital Entertainment,"['Action', 'Adventure']",Castlevania: Lords of Shadow 2,2014-02-25,239250,MercurySteam
Nomad Games,"['Indie', 'RPG', 'Strategy']",Talisman - Character Pack #1 - Exorcist,2014-02-25,258813,Nomad Games
Asmodee Digital,"['Indie', 'RPG', 'Strategy']",Talisman: Digital Edition,2014-02-25,247000,Nomad Games
Snowed In Studios,"['Action', 'Indie', 'RPG']",Windforge,2014-03-11,266170,Snowed In Studios
3000AD,"['Action', 'Simulation']",Galactic Command Echo Squad SE - Demo,2014-03-10,285690,3000AD
BANDAI NAMCO Entertainment,['Action'],PAC-MAN MUSEUM™ - Ms. PAC-MAN™ DLC,2014-02-26,255750,BANDAI NAMCO Studio Inc.
United Independent Entertainment GmbH,['Simulation'],Towtruck Simulator 2015,2014-03-11,273760,United Independent Entertainment GmbH
Paradox interactive,"['Simulation', 'Strategy']",Cities in Motion 2: European Cities,2014-03-11,283530,Colossal Order Ltd.
Nomad Games,"['Indie', 'RPG', 'Strategy']",Talisman - Complete Runestone Deck,2014-02-25,258812,Nomad Games
Squinkifer Productions,"['Adventure', 'Indie']",Dominique Pamplemousse,2014-03-11,270310,Squinkifer Productions
,"['Casual', 'Simulation']",Rocksmith® 2014 – Heart - “Crazy On You”,2014-03-11,271455,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Halestorm - “Love Bites (So Do I)”,2014-03-11,271456,Ubisoft - San Francisco
Squinkifer Productions,"['Adventure', 'Indie']",Dominique Pamplemousse: Soundtrack & Sheet Music,2014-03-11,285550,Squinky and the Squinkettes
Klei Entertainment,"['Casual', 'Indie', 'Simulation', 'Strategy']",Eets Munchies,2014-03-11,214550,Klei Entertainment
Daedalic Entertainment,"['Adventure', 'Indie']",1954 Alcatraz,2014-03-11,255280,"Daedalic Entertainment,Irresponsible Games"
Matt Makes Games Inc.,"['Action', 'Indie']",TowerFall Ascension,2014-03-11,251470,Matt Thorson
,"['Casual', 'Simulation']",Rocksmith® 2014 – Flyleaf - “All Around Me”,2014-03-11,271457,Ubisoft - San Francisco
Burian Media Enterprises,"['Action', 'Indie', 'RPG']",Dark Shadows - Army of Evil,2014-03-11,280640,Burian Media Enterprises
"International Games System, Co., LTD.","['Action', 'Casual', 'Indie']",Constant C,2014-03-07,251510,"International Games System, Co., LTD."
,"['Indie', 'Strategy']",Space Hulk - Space Wolves Chapter,2014-03-11,274430,Full Control Studios
Webzen,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",C9: Premium Package,2014-03-12,256230,Cloud 9 Studio
Degica,"['Animation &amp; Modeling', 'Web Publishing']",ComiPo! Casual Wear,2014-03-14,283550,ComiPo! LLP
Degica,"['Animation &amp; Modeling', 'Web Publishing']",ComiPo! Swim Wear,2014-03-14,283551,ComiPo! LLP
Webzen,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",C9: Steam Beginners Package,2014-03-12,284700,Cloud 9 Studio
Degica,"['Animation &amp; Modeling', 'Web Publishing']",ComiPo! Summer Uniform & Sportswear,2014-03-14,283552,ComiPo! LLP
,"['Audio Production', 'Utilities']",Batch Converter Plugin,2014-03-16,281100,Screaming Bee
Tortuga Team,"['Casual', 'Indie', 'Strategy']",Braveland,2014-03-17,285800,Tortuga Team
Thomas Bowker,"['Casual', 'Indie']",LYNE,2014-03-17,266010,Thomas Bowker
Sherman3D,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",Alpha Kimori™ 1,2014-03-17,265870,Sherman3D
Square Enix,"['Action', 'Adventure', 'RPG']",Deus Ex: The Fall,2014-03-18,258180,Square Enix
Devolver Digital,"['Action', 'Indie', 'Simulation']",LUFTRAUSERS,2014-03-18,233150,Vlambeer
bitSmith Games,"['Action', 'Adventure', 'Indie']",Ku: Shroud of the Morrigan,2014-03-17,270330,bitSmith Games
Doragon Entertainment,"['Action', 'Indie']",Danmaku Unlimited 2,2014-03-18,280560,Doragon Entertainment
,"['Casual', 'Simulation']",Rocksmith® 2014 – A Day To Remember - “All I Want”,2014-03-18,271460,Ubisoft - San Francisco
"2K Games , Aspyr (Mac)",['Action'],BioShock Infinite: Burial at Sea - Episode Two,2014-03-25,214932,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
,"['Casual', 'Simulation']",Rocksmith® 2014 – A Day To Remember - “It’s Complicated”,2014-03-18,271458,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – A Day To Remember - “The Downfall of Us All”,2014-03-18,271459,Ubisoft - San Francisco
Dovetail Games - Trains,['Simulation'],Train Simulator: DB BR 145 Loco Add-On,2014-03-20,222639,Dovetail Games
Rising Star Games,"['Action', 'Indie']",Cloudbuilt,2014-03-20,262390,Coilworks
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent,2014-03-20,274980,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - Deutsch [Learn German],2014-03-20,286970,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - 한국어 [Learn Korean],2014-03-20,286971,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - Latina [Learn Latin],2014-03-20,286972,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - български [Learn Bulgarian],2014-03-20,286960,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - Español [Learn Spanish],2014-03-20,286964,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - 普通话 [Learn Mandarin Chinese],2014-03-20,286961,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - English [Learn English],2014-03-20,286962,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - 日本語 [Learn Japanese],2014-03-20,286966,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - Français [Learn French],2014-03-20,286963,Rob Howland
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",Influent DLC - Svenska [Learn Swedish],2014-03-20,286965,Rob Howland
Crystal Shard,"['Adventure', 'Free to Play', 'Indie', 'RPG']",Heroine's Quest: The Herald of Ragnarok,2014-03-20,283880,Crystal Shard
Strategy First,['Casual'],Anmynor Puzzles,2014-03-20,275330,Pyxel Arts
Strategy First,['Adventure'],D.W.A.R.F.S.,2008-10-06,281560,ZSK Progres s.c.
Anikids,"['Casual', 'Simulation']",My Pet Hotel,2014-03-27,276380,Independent Arts Software
Konami Digital Entertainment,"['Action', 'Adventure']",Castlevania: Lords of Shadow 2 - Armored Dracula Costume,2014-03-25,273150,MercurySteam
Konami Digital Entertainment,"['Action', 'Adventure']",Castlevania: Lords of Shadow 2 - Dark Dracula Costume,2014-03-25,273151,MercurySteam
Konami Digital Entertainment,"['Action', 'Adventure']",Castlevania: Lords of Shadow 2 - Relic Rune Pack,2014-03-25,273152,MercurySteam
,"['Casual', 'Simulation']",Rocksmith® 2014 – Matchbox Twenty - “3AM”,2014-03-25,271464,Ubisoft - San Francisco
MumboJumbo,"['Casual', 'Simulation', 'Strategy']",Gardens Inc. – From Rakes to Riches,2014-03-25,279420,"World-Loom,Nitreal"
,"['Casual', 'Simulation']",Rocksmith® 2014 – Matchbox Twenty - “Push”,2014-03-25,271465,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Matchbox Twenty - “How Far We’ve Come”,2014-03-25,271466,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Matchbox Twenty - “She’s So Mean”,2014-03-25,271467,Ubisoft - San Francisco
Tribute Games Inc.,"['Action', 'Adventure', 'Indie', 'RPG']",Mercenary Kings,2014-03-25,218820,Tribute Games Inc.
David Amador,"['Adventure', 'Indie', 'RPG']",Quest of Dungeons,2014-03-25,270050,David Amador
,"['Casual', 'Simulation']",Rocksmith® 2014 – Matchbox Twenty Song Pack,2014-03-25,271469,Ubisoft - San Francisco
Bongfish GmbH,"['Action', 'Racing', 'Early Access']",Calibre 10 Racing,2014-03-26,266370,Bongfish GmbH
,"['Casual', 'Simulation']",Rocksmith® 2014 – Matchbox Twenty - “Unwell”,2014-03-25,271468,Ubisoft - San Francisco
Dovetail Games - Trains,['Simulation'],Train Simulator: Dispolok BR 189 Loco Add-On,2014-03-27,258645,Dovetail Games
SEGA,['Strategy'],Total War: ROME II - Hannibal at the Gates Campaign Pack,2014-03-27,273380,Creative Assembly
Mousechief,"['Adventure', 'Casual', 'Indie']",The Witch's Yarn,2014-04-03,287740,Mousechief
Bitbox Games,"['Action', 'Indie']",Scourge: Outbreak - Blindside PvP Map pack,2014-04-02,270650,Tragnarion Studios
Subsoap,"['Casual', 'Indie', 'Strategy', 'Early Access']",FaeVerse Alchemy,2014-04-02,282880,Subsoap
THQ Nordic,['Adventure'],Black Mirror II,2011-02-08,286460,Cranberry Production
Eversim,['Simulation'],2014 Edition Add-on - Masters of the World DLC,2014-04-03,278481,Eversim
Artifex Mundi,"['Adventure', 'Casual']",Abyss: The Wraiths of Eden,2012-10-29,284710,Artifex Mundi
"KISS ltd, Funbox Media Ltd",['Action'],Marine Sharpshooter II: Jungle Warfare,2004-06-22,283370,Jarhead Games
1C Company,['Strategy'],Freight Tycoon Inc.,2007-08-15,289340,Nikita
1C Company,['RPG'],Konung 3: Ties of the Dynasty,2010-06-17,289380,1C Company
1C Company,['Strategy'],Perimeter,2004-05-21,289440,K-D Lab
1C Company,"['Action', 'Adventure', 'Simulation']",The Tomorrow War,2009-05-04,289480,CrioLand
1C Company,['Action'],El Matador,2006-09-25,289280,Plastic Reality Technologies
Activision,['Action'],Call of Duty®: Ghosts - Zakhaev Special Character,2014-04-03,281341,Infinity Ward
Activision,['Action'],Call of Duty®: Ghosts - Legend Pack - Makarov,2014-04-03,281340,Infinity Ward
Activision,['Action'],Call of Duty®: Ghosts - Rorke Special Character,2014-04-03,281342,Infinity Ward
WZOGI,"['Adventure', 'Indie']",Actual Sunlight,2014-04-03,288040,WZOGI
SCS Software,"['Indie', 'Simulation']",Euro Truck Simulator 2 - Force of Nature Paint Jobs Pack,2014-04-04,292320,SCS Software
Buka Entertainment,"['RPG', 'Strategy']",Marauder,2009-09-10,289600,Apeiron
Nemoria Entertainment,"['Adventure', 'Indie']",Oknytt,2013-07-08,286320,Nemoria Entertainment
Marvelous,"['Action', 'Indie', 'RPG']",Half Minute Hero: The Second Coming,2014-04-04,240970,Opus
Nightdive Studios,['Adventure'],Harvester,1996-09-25,287020,DigiFX Interactive
GTGD,"['Education', 'Software Training']",GTGD S2: Just One Dev,2014-04-04,292350,GTGD
Microsoft Studios,['Action'],Halo: Spartan Assault,2014-04-04,277430,"Vanguard Games,343 Industries"
XGen Studios,"['Adventure', 'Casual', 'Indie', 'RPG']",Super Motherload,2013-11-15,269110,XGen Studios
,"['Animation &amp; Modeling', 'Design &amp; Illustration']",Leadwerks Game Engine - Professional Edition,2014-04-07,287760,Leadwerks Software
Frozen Yak Entertainment,"['Casual', 'Simulation', 'Strategy']",Evolution RTS,2014-04-04,291150,Frozen Yak Entertainment
Viva Media,"['Adventure', 'Casual']","House of 1,000 Doors: Family Secrets Collector's Edition",2014-04-07,286500,Alawar
One Aperture,"['Adventure', 'Casual', 'Indie']",Motte Island,2014-04-08,291290,Gamebell Studio
Aerosoft GmbH,['Simulation'],Munich Bus Simulator,2014-04-07,283560,TML-Studios
Agent Mega,"['Adventure', 'Indie', 'RPG']",Paper Dungeons,2014-03-26,283040,"Stephane Valverde,Leslie Valverde"
,"['Casual', 'Simulation']",Rocksmith® 2014 – Bob Dylan - “Just Like a Woman”,2014-04-08,271475,Ubisoft - San Francisco
Inmatrix LTD,"['Audio Production', 'Utilities', 'Video Production']",Zoom Player 13 : Steam Edition,2014-04-04,269550,Inmatrix LTD
,"['Casual', 'Simulation']",Rocksmith® 2014 – Bob Dylan - “Like a Rolling Stone”,2014-04-08,271476,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Bob Dylan - “Subterranean Homesick Blues”,2014-04-08,271477,Ubisoft - San Franciscos
Niels Bauer Games,"['Indie', 'RPG', 'Simulation', 'Strategy']",Smugglers 5,2014-04-11,291450,Niels Bauer Games
Quantized Bit,"['Action', 'Indie']",Volt,2014-04-14,290280,Quantized Bit
BlueLine Games,"['Casual', 'Indie', 'Strategy']",Hive - The Ladybug,2014-04-14,258851,BlueLine Games
Krita Foundation,['Design &amp; Illustration'],Krita Gemini,2014-06-10,280680,Krita Foundation
Dovetail Games,['Simulation'],Town Scenery Pack,2009-01-01,256525,Dovetail Games
Dovetail Games,['Simulation'],Platform Clutter Scenery Pack,2009-01-01,256524,RailSimulator.com
Dovetail Games,['Simulation'],Class A1 ‘Tornado’ Ex-Works Grey Add-on Livery,2009-01-01,256526,Dovetail Games
Dovetail Games,['Simulation'],Class A1 'Tornado' Express Passenger Blue Add-on Livery,2009-01-01,256527,Dovetail Games
Dovetail Games,['Simulation'],Thompson Class B1 LNER Green Add-on Livery,2009-01-01,256555,Dovetail Games
Dovetail Games,['Simulation'],"F7 Southern Pacific ""Bloody Nose"" Add-on Livery",2009-01-01,256549,Dovetail Games
Dovetail Games,['Simulation'],BR Class 31 Ochre Add-on Livery,2009-01-01,256552,Dovetail Games
Dovetail Games,['Simulation'],BR Provincial Sector Class 143 Add-on Livery,2014-04-15,275163,Dovetail Games
Dovetail Games,['Simulation'],BR Blue Class 08 Add-on Livery,2009-01-01,275804,Dovetail Games
Dovetail Games,['Simulation'],BR Green Class 08 Add-on Livery,2009-01-01,275807,Dovetail Games
Dovetail Games,['Simulation'],BR General Class 08 Add-on Livery,2009-01-01,275809,Dovetail Games
Dovetail Games,['Simulation'],Class 31 Intercity Add-on Livery,2009-01-01,256554,Dovetail Games
Dovetail Games,['Simulation'],Class 31 Regional Railways Add-on Livery,2009-01-01,256532,Dovetail Games
Broken Rules,"['Action', 'Adventure', 'Indie']",Secrets of Rætikon,2014-01-07,246680,Broken Rules
"Humongous Entertainment, Nightdive Studios","['Adventure', 'Casual']",Putt-Putt® and Pep's Balloon-o-Rama,1996-01-01,284000,Humongous Entertainment
"Humongous Entertainment, Nightdive Studios","['Adventure', 'Casual']",Freddi Fish and Luther's Maze Madness,1996-11-22,284020,Humongous Entertainment
"Humongous Entertainment, Nightdive Studios","['Adventure', 'Casual']",Putt-Putt® Joins the Parade,1992-01-01,283920,Humongous Entertainment
,"['Action', 'Adventure', 'Indie']",Secrets of Rætikon - Soundtrack,2014-04-17,289540,Broken Rules
KISS ltd,"['Action', 'Indie']",Space Farmers,2014-04-17,271570,BumpkinBrothers
KISS ltd,"['Casual', 'Indie', 'Simulation']",Pixel Puzzles: Japan,2014-04-17,284950,DL Softworks
"Humongous Entertainment, Nightdive Studios","['Adventure', 'Casual']",Pajama Sam: No Need to Hide When It's Dark Outside,1996-10-04,283960,Humongous Entertainment
Strategy First,['Adventure'],Robin's Quest,2014-04-17,292880,Gogii Games
"Humongous Entertainment, Nightdive Studios","['Adventure', 'Casual']",Freddi Fish and The Case of the Missing Kelp Seeds,1994-10-28,283940,Humongous Entertainment
Astral Byte Ltd.,"['Action', 'Casual', 'Indie']",Heldric - The legend of the shoemaker Demo,2014-04-17,295210,Astral Byte Ltd.
Astral Byte Ltd.,"['Action', 'Casual', 'Indie']",Heldric - The legend of the shoemaker,2014-04-17,293420,Astral Byte Ltd.
Ghostlight LTD,"['Adventure', 'RPG', 'Strategy']",Agarest: Generations of War Zero,2014-04-17,260130,Idea Factory
Mad Otter Games,"['Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",Villagers and Heroes,2014-04-17,263540,Mad Otter Games
Digital Tentacle,"['Casual', 'Indie']",Circuits,2014-04-17,282760,Digital Tentacle
DMD Enterprise,"['Action', 'Strategy']",Uprising44: The Silent Shadows,2014-04-18,280380,DMD Enterprise
Microids,"['Adventure', 'Casual']",Dracula: The Resurrection,2014-04-17,289800,Microids
9heads Game Studios,"['Action', 'Casual', 'Indie']",Vitrum,2012-09-25,291270,9heads Game Studios
9heads Game Studios,"['Action', 'Casual', 'Indie']",Vitrum Demo,2012-09-25,294350,9heads Game Studios
Asmodee Digital,"['Casual', 'Strategy']",Abalone,2014-04-23,279480,Games Up
1C Company,['Strategy'],UFO: Aftermath,2003-10-03,292160,Altar Interactive
1C Company,['RPG'],Konung 2,2004-11-30,289360,1C Company
1C Company,"['Action', 'RPG']",BorderZone,2006-07-19,289220,"Saturn-plus,Orion"
1C Company,"['Casual', 'Racing']",RC Cars,2003-12-11,289460,Creat Studio
1C Company,"['RPG', 'Strategy']",Ascension to the Throne,2007-01-26,289200,DVS
THQ Nordic,"['Action', 'RPG', 'Strategy']",Jagged Alliance 1: Gold Edition,1994-06-02,283270,"Sir-Tech,Madlab Software"
Slitherine Ltd.,['Strategy'],Battle Academy - Operation Market Garden,2011-09-05,287091,Slitherine Ltd.
Slitherine Ltd.,['Strategy'],Battle Academy - Blitzkrieg France,2010-12-09,287090,Slitherine Ltd.
Slitherine Ltd.,['Strategy'],Battle Academy - Rommel in Normandy,2013-08-06,287094,Slitherine Ltd.
Slitherine Ltd.,['Strategy'],Battle Academy - Fortress Metz,2013-11-27,287095,Slitherine Ltd.
Slitherine Ltd.,['Strategy'],Battle Academy - Operation Sealion,2012-01-15,287092,Slitherine Ltd.
Slitherine Ltd.,['Strategy'],Battle Academy - Operation Husky,2013-03-20,287093,Slitherine Ltd.
Farsky Interactive,"['Adventure', 'Indie']",FarSky,2014-04-25,286340,Farsky Interactive
Libredia,['Casual'],Redneck Racers,2010-12-10,288730,"Play, Silden"
Krillbite Studio,"['Action', 'Adventure', 'Indie']",Among the Sleep Demo,2014-04-25,285540,Krillbite Studio
Strategy First,['Strategy'],Warrior Kings,2002-04-13,297570,Black Cactus
Zero Rock Entertainment,"['Action', 'Casual', 'Indie']",Rabbit Hole 3D: Steam Edition,2014-04-25,283660,Somi
Digital Tribe,"['Action', 'Adventure', 'Indie']",Depths of Fear :: Knossos,2014-04-24,252570,Dirigo Games
Aartform Games,"['Indie', 'Simulation', 'Strategy']",Spice Road,2014-04-24,293960,Aartform Games
Microids,"['Adventure', 'Casual']",Nostradamus: The Last Prophecy,2014-04-24,287720,Microids
Strategy First,['Racing'],Mashed,2004-06-25,281280,Supersonic Software
KranX Productions,"['Action', 'Adventure', 'Indie', 'Racing']",Vangers,1998-06-19,264080,K-D Lab
"KISS ltd, Funbox Media Ltd",['Action'],Realms of the Haunting,1996-12-31,292390,Gremlin Interactive
"KISS ltd, Funbox Media Ltd",['Racing'],Street Racing Syndicate,2005-01-08,292410,Eutechnyx
Artifex Mundi,"['Adventure', 'Casual']",Clockwork Tales: Of Glass and Ink,2013-08-08,284830,Artifex Mundi
Hippomancer,['Action'],Rogue Shooter: The FPS Roguelike,2014-04-24,295770,Hippomancer
Hippomancer,['Action'],Rogue Shooter: The FPS Roguelike Demo,2014-04-24,298010,Hippomancer
1C Company,"['Simulation', 'Strategy']",Brigade E5: New Jagged Union,2006-10-17,296210,Apeiron
Ubisoft,['RPG'],Stardust Pack,2014-04-30,290406,Ubisoft Montréal
1C Company,"['RPG', 'Simulation', 'Strategy']","7,62 High Calibre",2007-08-24,289890,Apeiron
Bohemia Interactive,"['Adventure', 'Casual']","Fairy Tale About Father Frost, Ivan and Nastya",2000-12-20,289320,Bohemia Interactive
Microids Indie,['Adventure'],Nicolas Eymerich - The Inquisitor - Book 1 : The Plague,2014-04-30,279500,Ticonblu
Nyu Media,"['Action', 'Indie']",Croixleur Sigma,2014-04-30,250640,souvenir circ.
505 Games,['Action'],Kovac’s Way DLC,2014-04-30,289730,Eko Software
The Fighter Collection,['Simulation'],F-15C for DCS World,2014-04-30,250300,Eagle Dynamics SA
Wingware,,Wing IDE 5 - Commercial Use,2014-04-30,282240,Wingware
Wingware,['Utilities'],Wing IDE 5,2014-04-30,244830,Wingware
Libredia,"['Adventure', 'Indie']",Black Rainbow,2014-04-30,288500,Cateia Games
"Midnight City, Majesco Entertainment",['Action'],BloodRayne Betrayal,2014-04-30,281220,Abstraction Games
Devolver Digital,"['Action', 'Indie', 'Early Access']",Serious Sam Classics: Revolution,2014-04-30,227780,"Croteam,Alligator Pit"
Dovetail Games - Trains,['Simulation'],Train Simulator: BR Class 20 Loco Add-On,2014-05-01,222628,Dovetail Games
Homegrown Games,"['Action', 'Adventure', 'Indie']",Into the Dark: Ultimate Trash Edition,2014-05-01,266050,Homegrown Games
Steam,"['Action', 'Early Access', 'Indie']",The Final Stand,2014-05-05,296750,Hella Games Entertainment
bitComposer Games,"['Indie', 'Racing', 'Sports']",Jet Car Stunts,2014-05-01,274880,GRIP Digital s.r.o.
Nkidu Games Inc.,"['Adventure', 'Casual', 'Indie']",Full Bore,2014-05-06,264060,Whole Hog Games
Nyu Media,"['Action', 'Indie']",Croixleur Sigma Demo,2014-05-06,298920,souvenir circ.
Windybeard,"['Action', 'Indie']",Sweezy Gunner,2014-05-06,295730,Windybeard
Minor Key Games,"['Action', 'Indie']",You Have to Win the Game,2012-05-06,286100,Minor Key Games
Digital Happiness,"['Adventure', 'Indie']",DreadOut Demo,2013-04-01,299130,Digital Happiness
